path,category,keep_reason,public_imports,dependency_paths,covering_tests,old_method_token_status,contamination_action,frame_sign_unit_status,doc_comment_status,dense_runtime_status
docs/housekeeping_and_naming_rules.md,active_contract_doc,latest housekeeping and dense storage rules,not_importable,none,test_repo_housekeeping.py,none,replaced_unconditionally,consistent,consistent,states_required_contract
docs/Daily_Schedule.txt,active_contract_doc,reset-only current execution schedule,not_importable,none,test_repo_housekeeping.py,none,created,consistent,consistent,states_required_contract
docs/abbr.md,documentation,abbreviation glossary for future contextual modules,not_importable,none,test_repo_housekeeping.py,none,created,not_applicable,consistent,not_applicable
docs/reset/model_only_reset_manifest.md,reset_audit,records deleted old-method history and claim boundary,not_importable,none,test_repo_housekeeping.py,allowed_historical_reset_context,kept,not_applicable,consistent,not_applicable
docs/reset/kept_file_audit.csv,reset_audit,machine-readable retained-file audit,not_importable,none,test_repo_housekeeping.py,none,kept,not_applicable,consistent,not_applicable
docs/reset/kept_file_audit.md,reset_audit,human-readable retained-file audit,not_importable,none,test_repo_housekeeping.py,allowed_historical_reset_context,kept,not_applicable,consistent,not_applicable
docs/reset/model_only_reset_report.md,reset_audit,post-reset validation report,not_importable,none,test_repo_housekeeping.py,allowed_historical_reset_context,kept,not_applicable,consistent,not_applicable
docs/model_audit/model_only_foundation_audit.md,model_audit,frame/sign/unit/model consistency audit,not_importable,none,test_repo_housekeeping.py,none,kept,consistent,consistent,not_applicable
docs/code_audits/r6_readiness_validation_closure_report.md,code_audit,R6 readiness validation closure status,not_importable,none,test_repo_housekeeping.py,none,kept,not_applicable,consistent,not_applicable
docs/code_audits/r6_validation_start_report.md,code_audit,R6 dependency hygiene and validation-start status,not_importable,requirements-control-dev.txt,test_repo_housekeeping.py,none,created,not_applicable,consistent,not_applicable
03_Control/02_Inner_Loop/A_model_parameters/mass_properties_estimate.py,model_code,estimated mass inertia and CG constants,ESTIMATED_MASS_KG;ESTIMATED_INERTIA_B,none,test_model_foundation_smoke.py,none,kept,consistent,consistent,not_applicable
03_Control/02_Inner_Loop/glider.py,model_code,glider geometry and strip model construction,build_nausicaa_glider;Glider,mass_properties_estimate.py,test_model_foundation_smoke.py;test_wing_wind_descriptors.py,none,kept,consistent,consistent,not_applicable
03_Control/02_Inner_Loop/flight_dynamics.py,model_code,nonlinear plant and symbolic dynamics,adapt_glider;state_derivative;evaluate_state;build_symbolic_dynamics,glider.py,test_model_foundation_smoke.py;test_linearisation_finite_difference.py;test_panel_cg_uniform_wind.py,none,kept,consistent,consistent,not_applicable
03_Control/02_Inner_Loop/linearisation.py,model_code,trim linearisation helpers used by foundation audits,linearise_trim;key_derivatives,flight_dynamics.py;glider.py;trim_solver.py,test_state_order.py;test_control_signs.py;test_linearisation_finite_difference.py;test_trim_residual.py,none,kept,consistent,consistent,not_applicable
03_Control/02_Inner_Loop/trim_solver.py,model_code,straight trim solver and trim residual audit,solve_straight_trim;TrimTarget,flight_dynamics.py;02_Glider_Design/C_results/nausicaa_results.csv,test_trim_residual.py;test_linearisation_finite_difference.py,none,kept,consistent,consistent,not_applicable
03_Control/03_Primitives/state_contract.py,contract_code,canonical state order and validation,STATE_NAMES;STATE_INDEX;as_state_vector,none,test_control_contract_state_command.py;test_state_order.py,none,kept,consistent,consistent,not_applicable
03_Control/03_Primitives/command_contract.py,contract_code,canonical command order limits and signs,COMMAND_NAMES;normalised_command_to_surface_rad,latency.py,test_control_contract_state_command.py;test_surface_limits.py;test_surface_quantisation.py,none,kept,consistent,consistent,not_applicable
03_Control/03_Primitives/metric_contract.py,contract_code,foundation metric schema without old agile dependency,empty_metric_row;validate_metric_row,none,test_metric_contract.py,none,cleaned,consistent,consistent,not_applicable
03_Control/03_Primitives/latency.py,timing_code,latency case model with state delay command delay and actuator lag,latency_case_config;actuator_tau_for_case,none,test_latency_acceptance_labels.py;test_latency_chain.py;test_latency_step_response.py;test_servo_command_limit.py,none,kept,consistent,consistent,not_applicable
03_Control/03_Primitives/wing_wind_descriptors.py,environment_code,local wing-scale vertical-flow descriptors,wing_wind_descriptor_row;wing_panel_points_w,glider.py;updraft_models.py,test_wing_wind_descriptors.py,none,kept,consistent,consistent,not_applicable
03_Control/03_Primitives/dense_archive_runtime.py,runtime_code,contextual worker and runtime contract utility,dense_run_manifest_fields;worker_count_decision,none,test_dense_archive_runtime.py,none,cleaned,not_applicable,consistent,passes_required_contract
03_Control/03_Primitives/dense_archive_table_io.py,runtime_code,compressed partition writer reader and checksum manifest,write_table_partition;read_table_partition;file_sha256,none,test_dense_archive_table_io.py,none,cleaned,not_applicable,consistent,passes_required_contract
03_Control/03_Primitives/dense_archive_chunking.py,runtime_code,contextual chunk progress and manifest validation utility,ContextChunkSpec;progress_manifest_payload,dense_archive_runtime.py;dense_archive_table_io.py,test_dense_archive_chunking.py,none,cleaned,not_applicable,consistent,passes_required_contract
03_Control/04_Scenarios/arena.py,environment_code,arena safety-volume margin helper,safety_margins;ArenaConfig,linearisation.py,test_arena_bounds.py,none,kept,consistent,consistent,not_applicable
03_Control/04_Scenarios/arena_contract.py,contract_code,public arena bounds and margin contract,BoxBounds;position_margin_m;classify_position,none,test_control_contract_arena.py,none,kept,consistent,consistent,not_applicable
03_Control/04_Scenarios/scenario_contract.py,contract_code,scenario timing wind and latency metadata contract,ScenarioSpec;validate_scenario_spec,none,test_control_contract_scenario_paths.py,none,kept,consistent,consistent,not_applicable
03_Control/04_Scenarios/updraft_models.py,data_loader,measured/fitted updraft model loader,load_updraft_model;build_randomised_wind_field,01_Thermal/B_results,test_updraft_model_shapes.py;test_updraft_randomisation.py;test_updraft_model_reproduction.py,none,kept,consistent,consistent,not_applicable
03_Control/04_Scenarios/env_surrogate.py,environment_code,strict W0-W3 surrogate ladder resolver,SurrogateBinding;resolve_surrogate_binding;validate_surrogate_ladder;wind_field_for_binding,updraft_models.py,test_surrogate_ladder.py,none,created,consistent,consistent,not_applicable
03_Control/04_Scenarios/env_ctx.py,environment_code,environment context rows with surrogate provenance,EnvironmentMetadata;EnvironmentContext;build_environment_context,env_surrogate.py;wing_wind_descriptors.py,test_env_ctx.py;test_ctx_archive_smoke.py,none,updated,consistent,consistent,not_applicable
03_Control/03_Primitives/prim_cat.py,primitive_code,compact active primitive catalogue,PrimitiveDefinition;active_primitive_catalogue;primitive_by_id,none,test_prim_cat.py;test_prim_select.py,none,created,consistent,consistent,not_applicable
03_Control/03_Primitives/prim_roll.py,primitive_code,smoke and model-backed primitive rollout evidence,RolloutConfig;RolloutEvidence;simulate_primitive_rollout,flight_dynamics.py;command_contract.py;latency.py;arena_contract.py,test_prim_roll.py;test_prim_roll_model_backed.py;test_ctx_archive_smoke.py,none,updated,consistent,consistent,not_applicable
03_Control/03_Primitives/prim_model.py,primitive_model_code,auditable table-backed primitive outcome model,PrimitiveOutcomeModel;fit_primitive_outcome_model;predict_primitive_outcome,env_ctx.py;prim_roll.py,test_prim_model.py,none,created,consistent,consistent,not_applicable
03_Control/03_Primitives/prim_select.py,primitive_selector_code,viability-filtered primitive selector scaffold,PrimitiveSelectionResult;select_primitive,prim_model.py;prim_cat.py;env_ctx.py,test_prim_select.py,none,created,consistent,consistent,not_applicable
03_Control/04_Scenarios/run_ctx_archive.py,runtime_code,worker-enabled model-backed contextual archive preflight,ContextArchiveConfig;run_contextual_archive_preflight,env_surrogate.py;env_ctx.py;prim_roll.py;dense_archive_chunking.py;dense_archive_table_io.py,test_ctx_archive_smoke.py,none,updated,not_applicable,consistent,passes_required_contract
03_Control/tests/conftest.py,test_code,pytest path setup for retained modules,not_importable,retained module roots,all_tests,none,kept,not_applicable,consistent,not_applicable
03_Control/tests/test_model_foundation_smoke.py,test_code,glider construction finite derivative and RK4 smoke,not_importable,glider.py;flight_dynamics.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_arena_bounds.py,test_code,arena margin behavior,not_importable,arena.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_control_contract_arena.py,test_code,arena contract behavior,not_importable,arena_contract.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_control_contract_scenario_paths.py,test_code,scenario contract behavior,not_importable,scenario_contract.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_control_contract_state_command.py,test_code,state and command contract behavior,not_importable,state_contract.py;command_contract.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_control_signs.py,test_code,control sign sanity,not_importable,linearisation.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_dense_archive_chunking.py,test_code,contextual chunk manifest metadata,not_importable,dense_archive_chunking.py,pytest,none,cleaned,not_applicable,consistent,passes_required_contract
03_Control/tests/test_dense_archive_runtime.py,test_code,worker and storage contract metadata,not_importable,dense_archive_runtime.py,pytest,none,cleaned,not_applicable,consistent,passes_required_contract
03_Control/tests/test_dense_archive_table_io.py,test_code,compressed partition and checksum I/O,not_importable,dense_archive_table_io.py,pytest,none,kept,not_applicable,consistent,passes_required_contract
03_Control/tests/test_latency_acceptance_labels.py,test_code,latency label semantics,not_importable,latency.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_latency_chain.py,test_code,latency mechanism separation,not_importable,latency.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_latency_step_response.py,test_code,actuator lag step response,not_importable,latency.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_linearisation_finite_difference.py,test_code,finite derivative consistency,not_importable,linearisation.py;flight_dynamics.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_metric_contract.py,test_code,foundation metric schema,not_importable,metric_contract.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_panel_cg_uniform_wind.py,test_code,panel and CG uniform wind consistency,not_importable,flight_dynamics.py;linearisation.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_repo_housekeeping.py,test_code,allowlist contamination result and file-size gates,not_importable,repo files,pytest,none,rewritten,not_applicable,consistent,passes_required_contract
03_Control/tests/test_servo_command_limit.py,test_code,model-facing normalised command clipping and surface conversion,not_importable,command_contract.py,pytest,none,cleaned,consistent,consistent,not_applicable
03_Control/tests/test_state_order.py,test_code,state and input order,not_importable,linearisation.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_surface_limits.py,test_code,surface limit conversion,not_importable,latency.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_surface_quantisation.py,test_code,surface quantisation helpers,not_importable,latency.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_trim_residual.py,test_code,trim residual sanity,not_importable,linearisation.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_updraft_model_reproduction.py,test_code,updraft model reproduction behavior,not_importable,updraft_models.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_updraft_model_shapes.py,test_code,updraft output shape and units,not_importable,updraft_models.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_updraft_randomisation.py,test_code,updraft randomisation behavior,not_importable,updraft_models.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_wing_wind_descriptors.py,test_code,wing descriptor signs and units,not_importable,wing_wind_descriptors.py,pytest,none,kept,consistent,consistent,not_applicable
03_Control/tests/test_env_ctx.py,test_code,environment context and surrogate provenance behavior,not_importable,env_ctx.py;env_surrogate.py,pytest,none,updated,consistent,consistent,not_applicable
03_Control/tests/test_prim_cat.py,test_code,active primitive catalogue behavior,not_importable,prim_cat.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_prim_roll.py,test_code,smoke rollout evidence behavior,not_importable,prim_roll.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_ctx_archive_smoke.py,test_code,temp-only archive preflight behavior,not_importable,run_ctx_archive.py,pytest,none,updated,not_applicable,consistent,passes_required_contract
03_Control/tests/test_surrogate_ladder.py,test_code,strict surrogate ladder and blocked binding behavior,not_importable,env_surrogate.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_prim_roll_model_backed.py,test_code,model-backed rollout evidence and boundary retention,not_importable,prim_roll.py;env_surrogate.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_prim_model.py,test_code,auditable primitive outcome model behavior,not_importable,prim_model.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_prim_select.py,test_code,primitive selector viability and rejection logging,not_importable,prim_select.py;prim_model.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/03_Primitives/prim_ctrl.py,importable_module,bounded feedback command layer for active primitives,PrimitiveControlContext;PrimitiveControlCommand;primitive_reference;primitive_command_norm;feedback_mode_for_primitive,command_contract.py;env_ctx.py;prim_cat.py;state_contract.py,test_prim_ctrl.py,none,created,consistent,consistent,not_applicable
03_Control/04_Scenarios/run_ctx_episode_smoke.py,scenario_runner,temp-only repeated-launch episode smoke scaffold,EpisodeSmokeConfig;run_contextual_episode_smoke,env_ctx.py;env_surrogate.py;prim_model.py;prim_roll.py;prim_select.py,test_ctx_episode_smoke.py,none,created,consistent,consistent,passes_required_contract
docs/MATLAB Coding.txt,support_guidance,preserved hardware support guidance aligned to current validation layers,not_importable,hardware workflow,test_guidance_alignment.py,none,patched,not_applicable,consistent,passes_required_contract
docs/Python Plotting Guidance.txt,support_guidance,preserved plotting guidance aligned to terminal evidence labels,not_importable,plotting workflow,test_guidance_alignment.py,none,patched,not_applicable,consistent,passes_required_contract
docs/model_audit/r6_r8_guidance_alignment_audit.md,audit_report,R6-R8 code and guidance alignment report,not_importable,project docs,test_guidance_alignment.py,none,created,not_applicable,consistent,passes_required_contract
03_Control/tests/test_prim_ctrl.py,test_code,bounded primitive feedback command tests,not_importable,prim_ctrl.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_ctx_episode_smoke.py,test_code,temp-only episode smoke tests,not_importable,run_ctx_episode_smoke.py,pytest,none,created,not_applicable,consistent,passes_required_contract
03_Control/tests/test_guidance_alignment.py,test_code,R6-R8 code and support guidance alignment tests,not_importable,env_surrogate.py;prim_roll.py;prim_model.py;prim_select.py;run_ctx_archive.py;docs,pytest,none,created,not_applicable,consistent,passes_required_contract
03_Control/04_Scenarios/env_instance.py,environment_code,deterministic environment instance layer and randomisation metadata,EnvironmentInstance;EnvironmentRandomisationConfig;environment_instance_for_mode;sample_environment_randomisation;environment_metadata_from_instance,env_ctx.py;env_surrogate.py;updraft_models.py,test_env_instance.py;test_ctx_archive_smoke.py,none,created,consistent,consistent,not_applicable
03_Control/04_Scenarios/state_sampling.py,environment_code,deterministic archive launch and envelope state sampler,ArchiveStateSample;archive_state_sample_for_row;measured_log_state_sample_rows,state_contract.py,test_state_sampling.py;test_ctx_archive_smoke.py,none,created,consistent,consistent,not_applicable
03_Control/03_Primitives/prim_features.py,primitive_model_code,state context primitive latency and uncertainty feature schema,PrimitiveFeatureRecord;primitive_feature_record;primitive_feature_row;primitive_feature_vector_from_row,env_ctx.py;prim_cat.py;latency.py;state_sampling.py,test_prim_features.py;test_ctx_archive_smoke.py,none,created,consistent,consistent,not_applicable
03_Control/03_Primitives/episodic_lift_belief.py,primitive_model_code,temp-only episodic lift belief scaffold,LiftBeliefGrid;LiftObservation;initial_belief;update_belief;query_belief_features;belief_snapshot_row,state_contract.py,test_episodic_lift_belief.py;test_ctx_episode_smoke.py,none,created,consistent,consistent,not_applicable
03_Control/04_Scenarios/run_primitive_selector_report.py,scenario_runner,archive-grade R7 selector report with continuation and terminal modes,SelectorReportConfig;run_primitive_selector_report,archive_table_reader.py;prim_model.py;prim_select.py;env_ctx.py;dense_archive_table_io.py,test_report_scaffolds.py;test_v1_3_overnight_driver.py,none,created,not_applicable,consistent,passes_required_contract
03_Control/04_Scenarios/run_w2_replay.py,scenario_runner,actual W2 model-backed replay runner with source mapping and failure summaries,W2ReplayConfig;run_w2_replay;run_w2_replay_scaffold,env_ctx.py;env_instance.py;env_surrogate.py;prim_roll.py;dense_archive_table_io.py,test_report_scaffolds.py;test_v1_3_overnight_driver.py,none,created,consistent,consistent,passes_required_contract
03_Control/04_Scenarios/run_w3_generalisation.py,scenario_runner,actual W3 replay runner with randomisation scope and approximate limitation labels,W3GeneralisationConfig;run_w3_generalisation;run_w3_generalisation_scaffold,env_ctx.py;env_instance.py;env_surrogate.py;prim_roll.py;dense_archive_table_io.py,test_report_scaffolds.py;test_v1_3_overnight_driver.py,none,created,consistent,consistent,passes_required_contract
03_Control/tests/test_env_instance.py,test_code,environment instance construction and wind difference tests,not_importable,env_instance.py;env_ctx.py;env_surrogate.py;updraft_models.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_state_sampling.py,test_code,archive state sampling and measured-log compatibility tests,not_importable,state_sampling.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_prim_features.py,test_code,primitive feature schema sensitivity tests,not_importable,prim_features.py;env_ctx.py;prim_cat.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_episodic_lift_belief.py,test_code,episodic lift belief lambda update tests,not_importable,episodic_lift_belief.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_report_scaffolds.py,test_code,selector W2 and W3 temp scaffold manifest tests,not_importable,run_primitive_selector_report.py;run_w2_replay.py;run_w3_generalisation.py,pytest,none,created,not_applicable,consistent,passes_required_contract
03_Control/03_Primitives/implementation_instance.py,primitive_runtime_code,explicit implementation and actuator perturbation metadata,ImplementationInstance;implementation_instance_for_layer;implementation_instance_row;apply_surface_implementation;adjusted_actuator_tau_s,command_contract.py,test_implementation_plant_instances.py;test_prim_roll_model_backed.py,none,created,consistent,consistent,not_applicable
03_Control/03_Primitives/plant_instance.py,primitive_runtime_code,explicit glider plant perturbation metadata,PlantInstance;plant_instance_for_layer;plant_instance_row;apply_plant_instance_to_aircraft,flight_dynamics.py;mass_properties_estimate.py,test_implementation_plant_instances.py;test_prim_roll_model_backed.py,none,created,consistent,consistent,not_applicable
03_Control/04_Scenarios/archive_table_reader.py,runtime_code,manifest and partition aware archive table reader with source metadata,read_archive_table;read_archive_table_with_info;ArchiveTableSourceInfo,dense_archive_table_io.py,test_report_scaffolds.py;test_v1_3_overnight_driver.py,none,created,not_applicable,consistent,passes_required_contract
03_Control/04_Scenarios/evidence_stage_utils.py,runtime_code,shared stage evidence status coverage ratio file-size and claim-boundary helpers,StageEvidenceStatus;write_evidence_status_manifest;write_coverage_summary;write_blocked_approximate_ratio_summary,dense_archive_runtime.py;dense_archive_table_io.py,test_ctx_archive_smoke.py;test_v1_3_overnight_driver.py,none,created,not_applicable,consistent,passes_required_contract
03_Control/04_Scenarios/run_feedback_contextual_v1_3_overnight.py,scenario_runner,stage-isolated overnight driver preserving earlier evidence when later stages block,OvernightEvidenceConfig;run_feedback_contextual_v1_3_overnight,run_ctx_archive.py;run_primitive_selector_report.py;run_w2_replay.py;run_w3_generalisation.py,test_v1_3_overnight_driver.py,none,created,not_applicable,consistent,passes_required_contract
03_Control/tests/test_implementation_plant_instances.py,test_code,implementation and plant randomisation tests,not_importable,implementation_instance.py;plant_instance.py,pytest,none,created,consistent,consistent,not_applicable
03_Control/tests/test_v1_3_overnight_driver.py,test_code,stage driver status preservation and actual replay evidence tests,not_importable,run_feedback_contextual_v1_3_overnight.py;run_w2_replay.py;run_w3_generalisation.py,pytest,none,created,not_applicable,consistent,passes_required_contract
03_Control/04_Scenarios/run_feedback_contextual_v1_4_overnight.py,scenario_runner,hardened v1.4 stage driver with fail-fast preflight stage-local projections resume and status updates,OvernightV14Config;run_feedback_contextual_v1_4_overnight,run_ctx_archive.py;run_primitive_selector_report.py;run_w2_replay.py;run_w3_generalisation.py;env_surrogate.py,test_v1_4_run_hardening.py,none,created,not_applicable,consistent,passes_required_contract
03_Control/tests/test_v1_4_run_hardening.py,test_code,v1.4 run-hardening preflight projection and status-manifest tests,not_importable,run_feedback_contextual_v1_4_overnight.py;run_w2_replay.py;run_w3_generalisation.py,pytest,none,created,not_applicable,consistent,passes_required_contract
