replay_kind,candidate_variant,candidate_tag,run_id,scenario_id,primitive_name,selected_primitive,seed,wind_model,wind_mode,wind_param_label,latency_mode,latency_s,latency_range_s,state_feedback_delay_s,actuator_t10_s,actuator_t50_nominal_s,actuator_t90_s,conservative_actuator_bound_s,vicon_filter_cutoff_hz,vicon_filter_model,duration_s,termination_reason,success,failure_class,primitive_family,candidate_id,is_full_turn_claim,target_heading_deg,heading_target_deg,heading_change_deg,actual_heading_change_deg,heading_error_deg,forward_travel_m,turn_volume_proxy_m2,height_change_m,terminal_speed_m_s,max_alpha_deg,max_beta_deg,max_bank_deg,min_wall_distance_m,saturation_time_s,time_at_full_travel_s,saturation_fraction,tracking_error_rms,exit_recoverable,fixed_start_success,feasibility_label,governor_rejection_reason,candidate_count,rejected_count,log_path,primitive_selected,max_abs_phi_deg,inside_safe_volume,log_path_relative,selected_candidate,terminal_altitude_min_m
closed_loop_nominal_latency,recovery065,recovery065_template,turn_ocp_closed_loop_nominal_latency_seed1,turn_ocp_closed_loop_nominal_latency,turn_ocp_left_target_030,turn_ocp_left_target_030,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.7799998954336941,,True,none,turn_ocp,template_seed,False,30.0,30.0,-21.745259405574462,-21.745259405574462,8.254740594425538,4.9919878258477715,2.5010216832748657,-0.6890114131758986,6.682676048962054,3.911055494544167,6.258474219450989,25.57469293818504,0.158012174152228,0.0,0.0,0.0,0.20812725982354988,True,True,fixed_start_safe_but_under_turning,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_latency_recovery065_template_s001.csv,turn_ocp_left_target_030,25.57469293818504,True,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_latency_recovery065_template_s001.csv,False,
terminal_altitude_sensitivity,recovery065,recovery065_template,turn_recovery_terminal_altitude_0.75_seed1,turn_recovery_terminal_altitude_0.75,recovery,recovery,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.04,state outside safe volume,False,governor,,,False,,,0.13464702449988433,0.13464702449988433,,0.2393188442525327,0.01960981736565189,-0.01842109742187814,6.335050905468336,3.2617158388082785,7.326796559972991,2.5455299426802123,-0.01048078389209195,0.0,0.0,0.0,0.03459156643847169,False,False,not_tested,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery075_recovery065_template_s001.csv,recovery,2.5455299426802123,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery075_recovery065_template_s001.csv,False,0.75
terminal_altitude_sensitivity,recovery065,recovery065_template,turn_recovery_terminal_altitude_1.00_seed1,turn_recovery_terminal_altitude_1.00,recovery,recovery,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.04,state outside safe volume,False,governor,,,False,,,0.13464702449988433,0.13464702449988433,,0.2393188442525327,0.01960981736565189,-0.01842109742187814,6.335050905468336,3.2617158388082785,7.326796559972991,2.5455299426802123,-0.01048078389209195,0.0,0.0,0.0,0.03459156643847169,False,False,not_tested,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery100_recovery065_template_s001.csv,recovery,2.5455299426802123,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery100_recovery065_template_s001.csv,False,1.0
terminal_altitude_sensitivity,recovery065,recovery065_template,turn_recovery_terminal_altitude_1.20_seed1,turn_recovery_terminal_altitude_1.20,recovery,recovery,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.04,state outside safe volume,False,governor,,,False,,,0.13464702449988433,0.13464702449988433,,0.2393188442525327,0.01960981736565189,-0.01842109742187814,6.335050905468336,3.2617158388082785,7.326796559972991,2.5455299426802123,-0.01048078389209195,0.0,0.0,0.0,0.03459156643847169,False,False,not_tested,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery120_recovery065_template_s001.csv,recovery,2.5455299426802123,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery120_recovery065_template_s001.csv,False,1.2
open_loop_no_latency,recovery080,recovery080_bank_yaw,turn_ocp_open_loop_no_latency_seed1,turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_left_target_030_open_loop,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,0.78,angle of attack exceeded bound,False,model,turn_ocp,bank_yaw_seed,False,30.0,30.0,-34.82766488906256,-34.82766488906256,4.827664889062561,4.775874539866643,3.6220914113770246,-0.2326009117962231,5.0557628202012825,29.252479993691768,10.864192002729846,25.05409932038208,0.25,0.0,0.0,0.0,0.26679971754707205,False,False,model_limited_high_alpha,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_open_recovery080_bank_yaw_s001.csv,turn_ocp_left_target_030_open_loop,25.05409932038208,True,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_open_recovery080_bank_yaw_s001.csv,False,
closed_loop_no_latency,recovery080,recovery080_bank_yaw,turn_ocp_closed_loop_no_latency_seed1,turn_ocp_closed_loop_no_latency,turn_ocp_left_target_030,turn_ocp_left_target_030,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,0.8031129500393083,state outside safe volume,False,governor,turn_ocp,bank_yaw_seed,False,30.0,30.0,-19.172665979605327,-19.172665979605327,10.827334020394673,5.261853159050601,3.625145479713753,-0.8343492358149034,6.849340820563006,3.6033073979243304,6.00299980467274,24.457333597097325,-0.11185315905060111,0.0,0.0,0.0,0.18997381416350262,False,False,fixed_start_unsafe_wall,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_closed_recovery080_bank_yaw_s001.csv,turn_ocp_left_target_030,24.457333597097325,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_closed_recovery080_bank_yaw_s001.csv,False,
open_loop_nominal_latency,recovery080,recovery080_bank_yaw,turn_ocp_open_loop_nominal_latency_seed1,turn_ocp_open_loop_nominal_latency,turn_ocp_left_target_030_open_loop,turn_ocp_left_target_030_open_loop,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.8031129500393083,state outside safe volume,False,governor,turn_ocp,bank_yaw_seed,False,30.0,30.0,-17.46280137241783,-17.46280137241783,12.537198627582171,5.243691208522976,2.8612387623243074,-0.868832506933481,6.938927064918632,3.1375739997663885,4.503881219001632,25.535245821276245,-0.09369120852297641,0.0,0.0,0.0,0.21698825461116616,False,False,fixed_start_unsafe_wall,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_open_latency_recovery080_bank_yaw_s001.csv,turn_ocp_left_target_030_open_loop,25.535245821276245,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_open_latency_recovery080_bank_yaw_s001.csv,False,
closed_loop_nominal_latency,recovery080,recovery080_bank_yaw,,,,,,,,,,,,,,,,,,,,skipped because closed_loop_no_latency failed,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
terminal_altitude_sensitivity,recovery080,recovery080_bank_yaw,turn_recovery_terminal_altitude_0.75_seed1,turn_recovery_terminal_altitude_0.75,recovery,recovery,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.02,state outside safe volume,False,governor,,,False,,,0.01065328461599279,0.01065328461599279,,0.11890799127990626,0.005110006801641473,-0.00911017267313552,6.335323251183508,3.2533877784632885,6.09716250833189,1.9978028078660337,-0.018907663965813448,0.0,0.0,0.0,0.03154343382968467,False,False,not_tested,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery075_recovery080_bank_yaw_s001.csv,recovery,1.9978028078660337,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery075_recovery080_bank_yaw_s001.csv,False,0.75
terminal_altitude_sensitivity,recovery080,recovery080_bank_yaw,turn_recovery_terminal_altitude_1.00_seed1,turn_recovery_terminal_altitude_1.00,recovery,recovery,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.02,state outside safe volume,False,governor,,,False,,,0.01065328461599279,0.01065328461599279,,0.11890799127990626,0.005110006801641473,-0.00911017267313552,6.335323251183508,3.2533877784632885,6.09716250833189,1.9978028078660337,-0.018907663965813448,0.0,0.0,0.0,0.03154343382968467,False,False,not_tested,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery100_recovery080_bank_yaw_s001.csv,recovery,1.9978028078660337,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery100_recovery080_bank_yaw_s001.csv,False,1.0
terminal_altitude_sensitivity,recovery080,recovery080_bank_yaw,turn_recovery_terminal_altitude_1.20_seed1,turn_recovery_terminal_altitude_1.20,recovery,recovery,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.02,state outside safe volume,False,governor,,,False,,,0.01065328461599279,0.01065328461599279,,0.11890799127990626,0.005110006801641473,-0.00911017267313552,6.335323251183508,3.2533877784632885,6.09716250833189,1.9978028078660337,-0.018907663965813448,0.0,0.0,0.0,0.03154343382968467,False,False,not_tested,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery120_recovery080_bank_yaw_s001.csv,recovery,1.9978028078660337,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery120_recovery080_bank_yaw_s001.csv,False,1.2
open_loop_no_latency,latency075,latency075_bank_yaw,turn_ocp_open_loop_no_latency_seed1,turn_ocp_open_loop_no_latency,turn_ocp_left_target_030_open_loop,turn_ocp_left_target_030_open_loop,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,0.78,angle of attack exceeded bound,False,model,turn_ocp,bank_yaw_seed,False,30.0,30.0,-34.401194177360615,-34.401194177360615,4.401194177360615,4.774648356399599,3.6159059929332007,-0.21829371971989842,5.122139257820491,28.0582519932705,10.888703581481431,24.786276326611002,0.25,0.0,0.0,0.0,0.2604622699459176,False,False,model_limited_high_alpha,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_open_latency075_bank_yaw_s001.csv,turn_ocp_left_target_030_open_loop,24.786276326611002,True,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_open_latency075_bank_yaw_s001.csv,False,
closed_loop_no_latency,latency075,latency075_bank_yaw,turn_ocp_closed_loop_no_latency_seed1,turn_ocp_closed_loop_no_latency,turn_ocp_left_target_030,turn_ocp_left_target_030,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0,0.073,0.108,0.13,0.151,20.0,one_pole,0.805503573574027,state outside safe volume,False,governor,turn_ocp,bank_yaw_seed,False,30.0,30.0,-19.222055207416016,-19.222055207416016,10.777944792583984,5.2578917153187215,3.5726183981943573,-0.8332660893538744,6.854643480452985,3.49437869267336,6.209589313962094,24.16553591666713,-0.10789171531872199,0.0,0.0,0.0,0.1894825812757483,False,False,fixed_start_unsafe_wall,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_closed_latency075_bank_yaw_s001.csv,turn_ocp_left_target_030,24.16553591666713,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_closed_latency075_bank_yaw_s001.csv,False,
open_loop_nominal_latency,latency075,latency075_bank_yaw,turn_ocp_open_loop_nominal_latency_seed1,turn_ocp_open_loop_nominal_latency,turn_ocp_left_target_030_open_loop,turn_ocp_left_target_030_open_loop,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.805503573574027,state outside safe volume,False,governor,turn_ocp,bank_yaw_seed,False,30.0,30.0,-17.729877570445243,-17.729877570445243,12.270122429554757,5.247112388752609,2.8073627584717706,-0.8500116586192819,6.917077235154505,3.1211357102612034,4.85640429688156,24.62688889050494,-0.09711238875260975,0.0,0.0,0.0,0.21086284065819147,False,False,fixed_start_unsafe_wall,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_open_latency_latency075_bank_yaw_s001.csv,turn_ocp_left_target_030_open_loop,24.62688889050494,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/tvlqr_open_latency_latency075_bank_yaw_s001.csv,False,
closed_loop_nominal_latency,latency075,latency075_bank_yaw,,,,,,,,,,,,,,,,,,,,skipped because closed_loop_no_latency failed,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
terminal_altitude_sensitivity,latency075,latency075_bank_yaw,turn_recovery_terminal_altitude_0.75_seed1,turn_recovery_terminal_altitude_0.75,recovery,recovery,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.02,state outside safe volume,False,governor,,,False,,,0.006505403443129145,0.006505403443129145,,0.11806056060971581,0.005066922294364874,-0.009168221438719648,6.295050307931195,3.268483190393297,6.321516958158001,2.139914490279994,-0.01806017862941456,0.0,0.0,0.0,0.03235626249736927,False,False,not_tested,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery075_latency075_bank_yaw_s001.csv,recovery,2.139914490279994,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery075_latency075_bank_yaw_s001.csv,False,0.75
terminal_altitude_sensitivity,latency075,latency075_bank_yaw,turn_recovery_terminal_altitude_1.00_seed1,turn_recovery_terminal_altitude_1.00,recovery,recovery,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.02,state outside safe volume,False,governor,,,False,,,0.006505403443129145,0.006505403443129145,,0.11806056060971581,0.005066922294364874,-0.009168221438719648,6.295050307931195,3.268483190393297,6.321516958158001,2.139914490279994,-0.01806017862941456,0.0,0.0,0.0,0.03235626249736927,False,False,not_tested,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery100_latency075_bank_yaw_s001.csv,recovery,2.139914490279994,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery100_latency075_bank_yaw_s001.csv,False,1.0
terminal_altitude_sensitivity,latency075,latency075_bank_yaw,turn_recovery_terminal_altitude_1.20_seed1,turn_recovery_terminal_altitude_1.20,recovery,recovery,1,none,none,none,nominal,0.108,0.098000:0.118000,0.0229,0.073,0.108,0.13,0.151,20.0,one_pole,0.02,state outside safe volume,False,governor,,,False,,,0.006505403443129145,0.006505403443129145,,0.11806056060971581,0.005066922294364874,-0.009168221438719648,6.295050307931195,3.268483190393297,6.321516958158001,2.139914490279994,-0.01806017862941456,0.0,0.0,0.0,0.03235626249736927,False,False,not_tested,,0,0,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery120_latency075_bank_yaw_s001.csv,recovery,2.139914490279994,False,03_Control/05_Results/03_primitives/11_tight_turn_phase2_latency_recovery/001/logs/recovery120_latency075_bank_yaw_s001.csv,False,1.2
