group,split,surface_axis,command_abs,replay_count,high_confidence_count,medium_confidence_count,low_confidence_count,mean_launch_confidence_score,mean_launch_lateral_contamination_score,primary_metric,all_abs_antisym_residual,high_confidence_abs_antisym_residual,confidence_weighted_abs_antisym_residual,high_minus_all_abs_residual,weighted_minus_all_abs_residual,replay_dx_mae_m,replay_dy_mae_m,replay_altitude_loss_mae_m
aileron_0.6,train,aileron,0.6,10,8,2,0,0.7978226059,0.3794294309,peak_p_rad_s,0.7177879004,0.7925875438,0.7269037523,0.07479964343,0.009115851919,0.4938824526,0.8908527625,0.3833272311
aileron_0.8,train,aileron,0.8,9,5,4,0,0.758219494,0.4276400359,peak_p_rad_s,0.0193089978,0.8265590358,0.02300469413,0.807250038,0.003695696334,0.3829094861,0.7126958673,0.4249070252
aileron_1,train,aileron,1,10,5,5,0,0.760311098,0.4245903939,peak_p_rad_s,0.0298888672,0.1125665838,0.04499136312,0.08267771661,0.01510249593,0.3486821585,0.4538689575,0.3441963681
elevator,train,elevator,all,47,42,5,0,0.8470188408,0.3211694121,peak_q_rad_s,0.3319173493,0.2982402613,0.3127701021,-0.03367708803,-0.01914724717,0.1565836517,0.4196026648,0.1881571692
elevator_0.2,train,elevator,0.2,10,10,0,0,0.8585799726,0.311739842,peak_q_rad_s,0.520640477,0.520640477,0.4709649478,0,-0.04967552925,0.223467199,0.4173598084,0.2624728065
elevator_0.4,train,elevator,0.4,9,7,2,0,0.8278710963,0.3395762655,peak_q_rad_s,0.3687901308,0.3633105415,0.3545441315,-0.005479589297,-0.01424599926,0.1352268312,0.5446275242,0.2107754532
elevator_0.6,train,elevator,0.6,9,9,0,0,0.8807284246,0.2696689292,peak_q_rad_s,0.2929590712,0.2929590712,0.2872008969,0,-0.005758174267,0.1780835151,0.3464600309,0.1159713405
elevator_0.8,train,elevator,0.8,9,8,1,0,0.8374511268,0.3389847193,peak_q_rad_s,0.1486412806,0.2107852866,0.1721174386,0.06214400599,0.02347615798,0.133247171,0.4921860575,0.1862953576
elevator_1,train,elevator,1,10,8,2,0,0.8309629963,0.3443494724,peak_q_rad_s,0.3285557868,0.10350593,0.2790230958,-0.2250498568,-0.04953269106,0.1105741986,0.309826465,0.1601279526
rudder,train,rudder,all,48,44,4,0,0.854848694,0.3155725673,peak_r_rad_s,0.4883412967,0.4780088596,0.482555711,-0.01033243708,-0.005785585675,0.1884417595,0.4969470176,0.1483185037
rudder_0.2,train,rudder,0.2,9,7,2,0,0.8212865405,0.3533193346,peak_r_rad_s,0.3516681648,0.279749729,0.3257121267,-0.07191843574,-0.02595603809,0.2429441796,0.2868621038,0.1688207164
rudder_0.4,train,rudder,0.4,9,9,0,0,0.8619473335,0.312409359,peak_r_rad_s,0.2024722705,0.2024722705,0.1918176788,0,-0.01065459162,0.1596967028,0.5384541282,0.09068117503
rudder_0.6,train,rudder,0.6,10,10,0,0,0.8570422197,0.3166767803,peak_r_rad_s,0.6196965088,0.6196965088,0.6064532706,0,-0.0132432382,0.194882821,0.5720079008,0.1532728863
rudder_0.8,train,rudder,0.8,10,9,1,0,0.8702940486,0.2949621915,peak_r_rad_s,0.4291990155,0.4758257885,0.4429556182,0.04662677304,0.01375660268,0.09882037615,0.5002522441,0.0988043782
rudder_1,train,rudder,1,10,9,1,0,0.8610269764,0.3039535271,peak_r_rad_s,0.8386705239,0.8123000012,0.8458398607,-0.02637052269,0.00716933686,0.2484404543,0.5703009309,0.226299851
all,heldout,all,all,30,22,8,0,0.8172092517,0.3572969452,mean_primary,0.4326478474,0.4083878137,0.4326478474,-0.0242600337,0,0.2483926588,0.4203875944,0.1929894716
aileron,heldout,aileron,all,10,8,2,0,0.824165349,0.3534530654,peak_p_rad_s,0.1848068848,0.2496342934,0.1848068848,0.06482740866,2.775557562e-17,0.3905845536,0.3820599909,0.3055433691
aileron_0.2,heldout,aileron,0.2,2,2,0,0,0.8096777596,0.3744148455,peak_p_rad_s,0.1661385645,0.1661385645,0.1661385645,0,0,0.4504285959,0.2530196281,0.2451856179
aileron_0.4,heldout,aileron,0.4,2,1,1,0,0.8095703663,0.3696960373,peak_p_rad_s,0.1738168885,,0.1738168885,,1.110223025e-16,0.3759545656,0.5306732028,0.4728628765
aileron_0.6,heldout,aileron,0.6,2,1,1,0,0.7976980731,0.3828837182,peak_p_rad_s,0.001314655023,,0.001314655023,,0,0.4557920596,0.2168966206,0.5386966241
aileron_0.8,heldout,aileron,0.8,2,2,0,0,0.7916760304,0.3935994389,peak_p_rad_s,0.1253302209,0.1253302209,0.1253302209,0,5.551115123e-17,0.1166013734,0.1255892131,0.02820657031
aileron_1,heldout,aileron,1,2,2,0,0,0.9122045153,0.2466712868,peak_p_rad_s,0.4574340949,0.4574340949,0.4574340949,0,0,0.5541461733,0.7841212898,0.2427651567
elevator,heldout,elevator,all,10,7,3,0,0.8286452848,0.3429616591,peak_q_rad_s,0.5415352502,0.4727547517,0.5415352502,-0.06878049853,1.110223025e-16,0.1150740906,0.3808274752,0.1075610908
elevator_0.2,heldout,elevator,0.2,2,1,1,0,0.8104282466,0.3632731646,peak_q_rad_s,0.2888592718,,0.2888592718,,1.110223025e-16,0.028698134,0.3834117968,0.03076205789
elevator_0.4,heldout,elevator,0.4,2,2,0,0,0.8491729292,0.3296708462,peak_q_rad_s,0.0001545289247,0.0001545289247,0.0001545289247,0,1.110223025e-16,0.3182582554,0.1148268633,0.08253848444
elevator_0.6,heldout,elevator,0.6,2,1,1,0,0.7728759861,0.4112934503,peak_q_rad_s,0.06877210444,,0.06877210444,,0,0.03659523716,0.476021984,0.04493605188
elevator_0.8,heldout,elevator,0.8,2,1,1,0,0.7893113921,0.382580341,peak_q_rad_s,1.404535371,,1.404535371,,0,0.1045534608,0.6135623873,0.1397190443
elevator_1,heldout,elevator,1,2,2,0,0,0.9214378699,0.2279904931,peak_q_rad_s,0.9453549744,0.9453549744,0.9453549744,0,0,0.08726536546,0.3163143448,0.2398498156
rudder,heldout,rudder,all,10,7,3,0,0.7988171214,0.3754761111,peak_r_rad_s,0.5716014072,0.5821511561,0.5716014072,0.01054974891,-1.110223025e-16,0.2395193321,0.498275317,0.1658639549
rudder_0.2,heldout,rudder,0.2,2,1,1,0,0.6944205942,0.4919719879,peak_r_rad_s,0.8218151753,,0.8218151753,,0,0.377380812,0.1265475992,0.3734611931
rudder_0.4,heldout,rudder,0.4,2,2,0,0,0.8706840642,0.3030190632,peak_r_rad_s,0.5711831517,0.5711831517,0.5711831517,0,0,0.1352121599,0.3562545114,0.08019368549
rudder_0.6,heldout,rudder,0.6,2,1,1,0,0.854968055,0.2948444241,peak_r_rad_s,0.2906263145,,0.2906263145,,0,0.134123656,0.3831172802,0.02384417233
rudder_0.8,heldout,rudder,0.8,2,2,0,0,0.8214590167,0.3577768923,peak_r_rad_s,0.5931191604,0.5931191604,0.5931191604,0,-2.220446049e-16,0.2057581688,0.7373711728,0.1490897537
rudder_1,heldout,rudder,1,2,1,1,0,0.7525538771,0.4297681877,peak_r_rad_s,0.5812632339,,0.5812632339,,0,0.3451218638,0.8880860216,0.20273097
